MJD,Date,Our_RA,Our_Dec,JPL_RA,JPL_Dec,Delta_RA_arcsec,Delta_Dec_arcsec
61005.000000,2025-Nov-26 00:00,73.842486,20.361812,73.837820,20.361170,15.748,2.310
61005.250000,2025-Nov-26 06:00,73.790846,20.358250,73.786160,20.357610,15.815,2.303
61005.500000,2025-Nov-26 12:00,73.739080,20.354678,73.734370,20.354040,15.899,2.296
61005.750000,2025-Nov-26 18:00,73.687193,20.351097,73.682460,20.350460,15.976,2.291
61006.000000,2025-Nov-27 00:00,73.635187,20.347506,73.630440,20.346870,16.023,2.289
61006.250000,2025-Nov-27 06:00,73.583065,20.343906,73.578300,20.343270,16.085,2.290
61006.500000,2025-Nov-27 12:00,73.530832,20.340298,73.526060,20.339670,16.107,2.260
61006.750000,2025-Nov-27 18:00,73.478489,20.336681,73.473710,20.336050,16.132,2.270
61007.000000,2025-Nov-28 00:00,73.426041,20.333055,73.421250,20.332430,16.173,2.251
61007.250000,2025-Nov-28 06:00,73.373491,20.329422,73.368700,20.328800,16.172,2.238
61007.500000,2025-Nov-28 12:00,73.320841,20.325780,73.316050,20.325160,16.175,2.233
61007.750000,2025-Nov-28 18:00,73.268097,20.322131,73.263300,20.321520,16.193,2.201
61008.000000,2025-Nov-29 00:00,73.215260,20.318475,73.210470,20.317860,16.170,2.214
