MJD,RA(deg),Dec(deg),Date
61005.000000,73.837820,20.361170,2025-Nov-26 00:00
61005.250000,73.786160,20.357610,2025-Nov-26 06:00
61005.500000,73.734370,20.354040,2025-Nov-26 12:00
61005.750000,73.682460,20.350460,2025-Nov-26 18:00
61006.000000,73.630440,20.346870,2025-Nov-27 00:00
61006.250000,73.578300,20.343270,2025-Nov-27 06:00
61006.500000,73.526060,20.339670,2025-Nov-27 12:00
61006.750000,73.473710,20.336050,2025-Nov-27 18:00
61007.000000,73.421250,20.332430,2025-Nov-28 00:00
61007.250000,73.368700,20.328800,2025-Nov-28 06:00
61007.500000,73.316050,20.325160,2025-Nov-28 12:00
61007.750000,73.263300,20.321520,2025-Nov-28 18:00
61008.000000,73.210470,20.317860,2025-Nov-29 00:00
