================================================================================
                  ASTEROID OCCULTATION PREDICTION
================================================================================

Asteroid: 17030_2545273077891886976_2025-11-29 08:41:59
Star: Gaia DR3 2545273077891886976
Event time: 2.46101e+06
Close approach: 236456 arcsec
Position angle: 81.27 deg
Max duration: 0 sec
Probability: 0%

Shadow Path:
  Latitude    Longitude   Time (UTC)        Duration
  -----------------------------------------------------------------
  -21.1018  -84.8257  2461008.8208  0.0000s
  -21.1018  -84.8257  2461008.8215  0.0000s
  -21.1018  -84.8257  2461008.8222  0.0000s
  -21.1018  -84.8257  2461008.8229  0.0000s
  -21.1018  -84.8257  2461008.8236  0.0000s
  -21.1018  -84.8257  2461008.8243  0.0000s
  -21.1018  -84.8257  2461008.8250  0.0000s
  -21.1017  -84.8257  2461008.8257  0.0000s
  -21.1017  -84.8257  2461008.8264  0.0000s
  -21.1017  -84.8257  2461008.8271  0.0000s
  -21.1017  -84.8257  2461008.8278  0.0000s
  -21.1017  -84.8257  2461008.8285  0.0000s
  -21.1017  -84.8257  2461008.8292  0.0000s
  -21.1017  -84.8257  2461008.8299  0.0000s
  -21.1016  -84.8257  2461008.8306  0.0000s
  -21.1016  -84.8257  2461008.8312  0.0000s
  -21.1016  -84.8257  2461008.8319  0.0000s
  -21.1016  -84.8257  2461008.8326  0.0000s
  -21.1016  -84.8257  2461008.8333  0.0000s
  -21.1016  -84.8257  2461008.8340  0.0000s
  -21.1015  -84.8257  2461008.8347  0.0000s
  -21.1015  -84.8257  2461008.8354  0.0000s
  -21.1015  -84.8257  2461008.8361  0.0000s
  -21.1015  -84.8257  2461008.8368  0.0000s
  -21.1015  -84.8257  2461008.8375  0.0000s
  -21.1015  -84.8257  2461008.8382  0.0000s
  -21.1015  -84.8257  2461008.8389  0.0000s
  -21.1014  -84.8257  2461008.8396  0.0000s
  -21.1014  -84.8257  2461008.8403  0.0000s
  -21.1014  -84.8257  2461008.8410  0.0000s
  -21.1014  -84.8257  2461008.8417  0.0000s
  -21.1014  -84.8257  2461008.8424  0.0000s
  -21.1014  -84.8257  2461008.8431  0.0000s
  -21.1013  -84.8257  2461008.8437  0.0000s
  -21.1013  -84.8257  2461008.8444  0.0000s
  -21.1013  -84.8257  2461008.8451  0.0000s
  -21.1013  -84.8257  2461008.8458  0.0000s
  -21.1013  -84.8257  2461008.8465  0.0000s
  -21.1013  -84.8257  2461008.8472  0.0000s
  -21.1013  -84.8257  2461008.8479  0.0000s
  -21.1012  -84.8257  2461008.8486  0.0000s
  -21.1012  -84.8257  2461008.8493  0.0000s
  -21.1012  -84.8257  2461008.8500  0.0000s
  -21.1012  -84.8257  2461008.8507  0.0000s
  -21.1012  -84.8257  2461008.8514  0.0000s
  -21.1012  -84.8257  2461008.8521  0.0000s
  -21.1012  -84.8257  2461008.8528  0.0000s
  -21.1011  -84.8257  2461008.8535  0.0000s
  -21.1011  -84.8257  2461008.8542  0.0000s
  -21.1011  -84.8257  2461008.8549  0.0000s
  -21.1011  -84.8257  2461008.8556  0.0000s
  -21.1011  -84.8257  2461008.8562  0.0000s
  -21.1011  -84.8257  2461008.8569  0.0000s
  -21.1010  -84.8257  2461008.8576  0.0000s
  -21.1010  -84.8257  2461008.8583  0.0000s
  -21.1010  -84.8257  2461008.8590  0.0000s
  -21.1010  -84.8257  2461008.8597  0.0000s
  -21.1010  -84.8257  2461008.8604  0.0000s
  -21.1010  -84.8257  2461008.8611  0.0000s
  -21.1010  -84.8257  2461008.8618  0.0000s
  -21.1009  -84.8257  2461008.8625  0.0000s
  -21.1009  -84.8257  2461008.8632  0.0000s
  -21.1009  -84.8257  2461008.8639  0.0000s
  -21.1009  -84.8257  2461008.8646  0.0000s
  -21.1009  -84.8257  2461008.8653  0.0000s
  -21.1009  -84.8257  2461008.8660  0.0000s
  -21.1009  -84.8257  2461008.8667  0.0000s
  -21.1008  -84.8257  2461008.8674  0.0000s
  -21.1008  -84.8257  2461008.8681  0.0000s
  -21.1008  -84.8257  2461008.8687  0.0000s
  -21.1008  -84.8257  2461008.8694  0.0000s
  -21.1008  -84.8257  2461008.8701  0.0000s
  -21.1008  -84.8257  2461008.8708  0.0000s
  -21.1007  -84.8257  2461008.8715  0.0000s
  -21.1007  -84.8257  2461008.8722  0.0000s
  -21.1007  -84.8257  2461008.8729  0.0000s
  -21.1007  -84.8257  2461008.8736  0.0000s
