17030_2545273077891886976_2025-11-29 08:41:59  2.46101e+06 UTC
Star: Gaia DR3 2545273077891886976  Mag 9.58602
C/A: 236456"  PA: 81.27°
Duration: 0 sec  Prob: 0%

Center Line:
  -21.1018  -84.8257
  -21.1018  -84.8257
  -21.1018  -84.8257
  -21.1018  -84.8257
  -21.1018  -84.8257
  -21.1018  -84.8257
  -21.1018  -84.8257
  -21.1017  -84.8257
  -21.1017  -84.8257
  -21.1017  -84.8257
  -21.1017  -84.8257
  -21.1017  -84.8257
  -21.1017  -84.8257
  -21.1017  -84.8257
  -21.1016  -84.8257
  -21.1016  -84.8257
  -21.1016  -84.8257
  -21.1016  -84.8257
  -21.1016  -84.8257
  -21.1016  -84.8257
  -21.1015  -84.8257
  -21.1015  -84.8257
  -21.1015  -84.8257
  -21.1015  -84.8257
  -21.1015  -84.8257
  -21.1015  -84.8257
  -21.1015  -84.8257
  -21.1014  -84.8257
  -21.1014  -84.8257
  -21.1014  -84.8257
  -21.1014  -84.8257
  -21.1014  -84.8257
  -21.1014  -84.8257
  -21.1013  -84.8257
  -21.1013  -84.8257
  -21.1013  -84.8257
  -21.1013  -84.8257
  -21.1013  -84.8257
  -21.1013  -84.8257
  -21.1013  -84.8257
  -21.1012  -84.8257
  -21.1012  -84.8257
  -21.1012  -84.8257
  -21.1012  -84.8257
  -21.1012  -84.8257
  -21.1012  -84.8257
  -21.1012  -84.8257
  -21.1011  -84.8257
  -21.1011  -84.8257
  -21.1011  -84.8257
  -21.1011  -84.8257
  -21.1011  -84.8257
  -21.1011  -84.8257
  -21.1010  -84.8257
  -21.1010  -84.8257
  -21.1010  -84.8257
  -21.1010  -84.8257
  -21.1010  -84.8257
  -21.1010  -84.8257
  -21.1010  -84.8257
  -21.1009  -84.8257
  -21.1009  -84.8257
  -21.1009  -84.8257
  -21.1009  -84.8257
  -21.1009  -84.8257
  -21.1009  -84.8257
  -21.1009  -84.8257
  -21.1008  -84.8257
  -21.1008  -84.8257
  -21.1008  -84.8257
  -21.1008  -84.8257
  -21.1008  -84.8257
  -21.1008  -84.8257
  -21.1007  -84.8257
  -21.1007  -84.8257
  -21.1007  -84.8257
  -21.1007  -84.8257
  -21.1007  -84.8257
  -21.1007  -84.8257
  -21.1007  -84.8257
  -21.1006  -84.8257
  -21.1006  -84.8257
  -21.1006  -84.8257
  -21.1006  -84.8257
  -21.1006  -84.8257
  -21.1006  -84.8257
  -21.1006  -84.8257
  -21.1005  -84.8257
  -21.1005  -84.8257
  -21.1005  -84.8257
  -21.1005  -84.8257
  -21.1005  -84.8257
  -21.1005  -84.8257
  -21.1004  -84.8257
  -21.1004  -84.8257
  -21.1004  -84.8257
  -21.1004  -84.8257
  -21.1004  -84.8257
  -21.1004  -84.8257
  -21.1004  -84.8257
  -21.1003  -84.8257
  -21.1003  -84.8257
  -21.1003  -84.8257
  -21.1003  -84.8257
  -21.1003  -84.8257
  -21.1003  -84.8257
  -21.1002  -84.8257
  -21.1002  -84.8257
  -21.1002  -84.8257
  -21.1002  -84.8257
  -21.1002  -84.8257
  -21.1002  -84.8257
  -21.1002  -84.8257
  -21.1001  -84.8257
  -21.1001  -84.8257
  -21.1001  -84.8257
  -21.1001  -84.8257
  -21.1001  -84.8257
  -21.1001  -84.8257
  -21.1001  -84.8257
  -21.1000  -84.8257
